27,28,300855,图南股份,详细,-,1.02亿,9685万,4.88,-,1341万,1302万,3.05,-,-,-,金属制品,07-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300855.html
28,29,688577,浙海德曼,详细,-,4610万,8669万,-46.82,-376.54,131万,1179万,-88.92,-312.40,-,-,机械行业,07-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688577.html
29,30,688289,圣湘生物,详细,-,4亿,8183万,388.31,-,1.93亿,-54.07万,35806,-,-,-,医疗行业,07-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688289.html
30,31,300879,大叶股份,详细,-,4.85亿,3.85亿,26.15,-,4265万,4067万,4.87,-,-,-,机械行业,07-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300879.html
31,32,688500,慧辰资讯,详细,-,5800万,7210万,-19.55,-,-228万,38.96万,-685.27,-,-,-,电子信息,06-30,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688500.html
32,33,688050,爱博医疗,详细,-,-,4308万,-,-,342万,1716万,-80.10,-,-,-,医疗行业,06-30,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688050.html
33,34,300881,盛德鑫泰,详细,-,1.72亿,1.97亿,-12.64,-,1128万,1602万,-29.64,-,-,-,金属制品,06-30,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300881.html
34,35,300861,美畅股份,详细,-,3.04亿,3.12亿,-2.49,-,1.18亿,9399万,25.74,-,-,-,材料行业,06-24,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300861.html
35,36,300849,锦盛新材,详细,-,6398万,8839万,-27.62,-,1310万,1584万,-17.31,-,-,-,包装材料,06-24,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300849.html
36,37,688336,三生国健,详细,-,5369万,7593万,-29.30,-,-1亿,-6534万,-53.79,-,-,-,医药制造,06-22,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688336.html
37,38,688256,寒武纪,详细,-,1155万,1425万,-18.91,-,-1.08亿,-2271万,-377.21,-,-,-,电子元件,06-22,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688256.html
38,39,300877,金春股份,详细,-,2.12亿,1.86亿,13.82,-,2618万,855万,206.10,-,-,-,纺织服装,06-22,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300877.html
39,40,688596,正帆科技,详细,-,-,1.15亿,-,-,-,-1267万,-,-,-,-,专用设备,06-19,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688596.html
40,41,688408,中信博,详细,-,-,-,-,-,1812万,2014万,-10.02,-,-,-,机械行业,06-19,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688408.html
41,42,688550,瑞联新材,详细,-,2.12亿,2.38亿,-10.99,-,3135万,3746万,-16.32,-,-,-,材料行业,06-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688550.html
42,43,688519,南亚新材,详细,-,4.41亿,3.96亿,11.30,-,3213万,2920万,10.04,-,-,-,电子元件,06-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688519.html
43,44,688513,苑东生物,详细,-,1.76亿,2.11亿,-16.34,-,3069万,2894万,6.05,-,-,-,医药制造,06-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688513.html
44,45,688335,复洁环保,详细,-,3411万,1013万,236.68,-386.91,238万,-581万,140.95,-434.85,-,-,环保工程,06-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688335.html
45,46,688559,海目星,详细,-,9824万,7014万,40.06,-297.84,-2826万,-261万,-982.66,-354.52,-,-,专用设备,06-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688559.html
46,47,688390,固德威,详细,0.5684,2.23亿,1.66亿,33.81,-,3752万,1362万,175.37,-,-,8.58,电力行业,06-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688390.html
47,48,300845,捷安高科,详细,-,1403万,1978万,-29.09,-271.19,216万,23.1万,834.76,-232.80,-,-,软件服务,06-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300845.html
48,49,688981,中芯国际,详细,-,64.01亿,46.25亿,38.42,-,4.37亿,2.17亿,101.42,-,-,-,电子元件,06-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688981.html
49,50,688568,中科星图,详细,-,3765万,4599万,-18.13,-285.02,-1975万,-1007万,-96.11,-248.12,-,-,软件服务,06-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688568.html
0,51,688165,埃夫特,详细,-,2.13亿,2.84亿,-25.10,-,-4068万,-1863万,-118.38,-,-,-,机械行业,06-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688165.html
1,52,688095,福昕软件,详细,-,1.14亿,7333万,56.09,-312.07,3130万,693万,351.35,-219.18,-,-,软件服务,06-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688095.html
2,53,688056,莱伯泰科,详细,-,4478万,5129万,-12.69,-,-31.96万,329万,-109.73,-,-,-,仪器仪表,06-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688056.html
3,54,688004,博汇科技,详细,-,1822万,1355万,34.46,-,-329万,-935万,64.81,-,-,-,软件服务,06-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688004.html
4,55,300824,北鼎股份,详细,-,1.14亿,1.26亿,-9.89,-,2160万,1559万,38.54,-,-,-,家电行业,06-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300824.html
5,56,688356,键凯科技,详细,-,2702万,2193万,23.19,-,1092万,619万,76.41,-,-,-,化工行业,06-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688356.html
6,57,688311,盟升电子,详细,-,1495万,282万,429.44,-,-601万,-760万,20.87,-,-,-,电子信息,06-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688311.html
7,58,688065,凯赛生物,详细,-,4.06亿,6亿,-32.38,-558.05,1.18亿,1.23亿,-3.47,-439.23,-,-,材料行业,06-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688065.html
8,59,688017,绿的谐波,详细,-,3237万,3115万,3.94,-,1523万,728万,109.27,-,-,-,机械行业,06-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688017.html
9,60,688215,瑞晟智能,详细,-,978万,1640万,-40.33,-435.57,-653万,-287万,-127.41,-659.35,-,-,交运物流,06-05,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688215.html
10,61,688580,伟思医疗,详细,-,5702万,5912万,-3.55,-,1699万,1741万,-2.45,-,-,-,医疗行业,06-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688580.html
11,62,688556,高测股份,详细,-,2.16亿,6549万,229.91,-237.65,3597万,-1419万,353.53,-91.11,-,-,专用设备,06-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688556.html
12,63,688488,艾迪药业,详细,-,4466万,8046万,-44.50,-,295万,603万,-51.14,-,-,-,医药制造,06-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688488.html
13,64,688156,路德环境,详细,-,1700万,4296万,-60.43,-,-907万,250万,-462.76,-,-,-,环保工程,06-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688156.html
14,65,688229,博睿数据,详细,-,2866万,3115万,-7.98,-,353万,723万,-51.11,-,-,-,软件服务,06-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688229.html
15,66,688077,大地熊,详细,-,1.14亿,1.11亿,2.09,-393.10,527万,902万,-41.53,-636.15,-,-,材料行业,06-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688077.html
16,67,688027,国盾量子,详细,-,155万,164万,-5.46,-212.29,-883万,-1890万,53.29,-171.15,-,-,通讯行业,06-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688027.html
17,68,688586,江航装备,详细,-,1.05亿,1.37亿,-23.20,-400.40,2567万,3008万,-14.65,-532.67,-,-,航天航空,06-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688586.html
18,69,688379,华光新材,详细,-,1.36亿,1.56亿,-13.11,-,702万,979万,-28.31,-333.25,-,-,金属制品,06-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688379.html
19,70,688569,铁科轨道,详细,-,1.31亿,2.25亿,-41.89,-430.72,302万,2393万,-87.39,-547.13,-,-,机械行业,05-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688569.html
20,71,688055,龙腾光电,详细,-,8.37亿,8.23亿,1.69,-382.27,2265万,739万,206.57,-225.51,-,-,电子元件,05-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688055.html
21,72,688558,国盛智科,详细,-,9733万,1.47亿,-33.66,-437.97,1337万,1426万,-6.28,-403.18,-,-,机械行业,05-28,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688558.html
22,73,300838,浙江力诺,详细,-,5130万,8586万,-40.26,-,545万,931万,-41.54,-,-,-,仪器仪表,05-26,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300838.html
23,74,688521,芯原股份,详细,-,3.04亿,2.72亿,11.92,-,-6351万,25.32万,-25183,-,-,-,软件服务,05-25,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688521.html
24,75,300837,浙矿股份,详细,-,9200万,7164万,28.42,-,2798万,1989万,40.63,-,-,-,专用设备,05-25,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300837.html
25,76,688106,金宏气体,详细,-,2.52亿,2.51亿,0.20,-401.88,2001万,3247万,-38.38,-492.10,-,-,化工行业,05-22,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688106.html
26,77,688508,芯朋微,详细,0.15,6313万,6004万,5.15,-365.29,1290万,958万,34.66,-336.08,-,2.72,电子信息,05-20,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688508.html
27,78,688418,震有科技,详细,-,2430万,1828万,32.97,-,-1728万,-1895万,8.81,-,-,-,通讯行业,05-20,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688418.html
28,79,300836,佰奥智能,详细,-,1229万,969万,26.83,-,-51.65万,-429万,87.96,-,-,-,专用设备,05-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300836.html
29,80,688185,康希诺,详细,-,403万,57.15万,605.09,393.77,-2310万,-4525万,48.94,311.16,-,-,医药制造,05-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688185.html
30,81,002989,中天精装,详细,-,2.53亿,2.59亿,-2.52,-,2018万,2066万,-2.34,-,-,-,装修装饰,05-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/002989.html
31,82,688157,松井股份,详细,-,8212万,8666万,-5.24,-,1399万,1572万,-11.03,-,-,-,化工行业,05-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688157.html
32,83,300833,浩洋股份,详细,-,1.68亿,2.27亿,-25.98,-,4398万,5044万,-12.80,-,-,-,电子元件,05-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300833.html
33,84,688377,迪威尔,详细,-,1.81亿,1.67亿,8.45,-,2763万,1929万,43.27,-,-,-,专用设备,05-06,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688377.html
34,85,603301,振德医疗,详细,0.61,7.09亿,3.34亿,112.34,-298.91,8591万,3061万,180.63,-214.89,10.31,6.13,医疗行业,04-27,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/603301.html
35,86,603687,大胜达,详细,0.02,2.48亿,2.84亿,-12.49,-394.07,643万,2499万,-74.27,-666.17,3.53,0.44,包装材料,04-25,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/603687.html
36,87,300832,新产业,详细,-,2.89亿,3.15亿,-8.37,-,1.11亿,1.38亿,-19.77,-,-,-,医疗行业,04-20,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300832.html
37,88,600603,广汇物流,详细,0.12,4.2亿,3.17亿,32.63,-244.94,1.39亿,1.14亿,21.38,-226.99,5.05,2.12,房地产,04-18,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/600603.html
38,89,000591,太阳能,详细,0.0514,10.14亿,8.69亿,16.66,-397.90,1.55亿,1.26亿,23.12,-913.91,4.49,1.15,电力行业,04-18,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/000591.html
39,90,601016,节能风电,详细,0.033,6.2亿,5.52亿,12.50,-369.62,1.37亿,1.13亿,20.53,-380.27,1.782,1.84,输配电气,04-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/601016.html
40,91,601901,方正证券,详细,0.05,19.36亿,18.45亿,4.91,-386.26,3.79亿,5.88亿,-35.53,-833.31,4.7,0.98,券商信托,04-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/601901.html
41,92,600674,川投能源,详细,0.12,1.67亿,2.21亿,-24.44,-357.64,5.26亿,7.4亿,-28.99,-864.94,6.28,1.92,电力行业,04-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/600674.html
42,93,000498,山东路桥,详细,0.0782,39.68亿,48.76亿,-18.61,-357.47,8755万,1.15亿,-23.64,-318.36,4.9915,1.58,工程建设,04-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/000498.html
43,94,600644,乐山电力,详细,0.076,5.07亿,5.14亿,-1.41,-374.09,4075万,5325万,-23.47,35.60,2.83,2.71,电力行业,04-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/600644.html
44,95,600161,天坛生物,详细,0.13,7.58亿,7.06亿,7.33,-431.07,1.32亿,1.31亿,0.20,-432.37,3.89,3.29,医药制造,04-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/600161.html
45,96,300831,派瑞股份,详细,-,1668万,1685万,-1.01,-,-444万,-688万,35.39,-,-,-,电子元件,04-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300831.html
46,97,601231,环旭电子,详细,-,76.13亿,76.75亿,-0.81,-363.42,-,2.23亿,-,-,-,-,电子元件,04-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/601231.html
47,98,000728,国元证券,详细,0.08,9.1亿,9.85亿,-7.59,-340.38,2.83亿,4.22亿,-32.93,-394.21,7.52,1.13,券商信托,04-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/000728.html
48,99,600917,重庆燃气,详细,0.034,14.81亿,18.6亿,-20.40,-390.46,5315万,9029万,-41.13,-482.30,2.74,1.26,公用事业,04-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/600917.html
49,100,688528,秦川物联,详细,-,4213万,3923万,7.41,-331.38,572万,530万,7.98,-308.92,-,-,仪器仪表,04-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688528.html
0,101,601139,深圳燃气,详细,0.08,28.33亿,31.08亿,-8.85,-378.09,2.17亿,2.38亿,-8.91,-701.80,3.98,1.92,公用事业,04-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/601139.html
